Freq.	V(n003)
5.75439937337152e+002	(-3.02998586864948e-006dB,-4.04160707958293e-002°)
5.88843655355584e+002	(-3.13182887760269e-006dB,-4.13574816976142e-002°)
6.02559586074353e+002	(-3.23847159131411e-006dB,-4.23208208531467e-002°)
6.16595001861477e+002	(-3.35014022294921e-006dB,-4.33065990354184e-002°)
6.30957344480188e+002	(-3.46707162994438e-006dB,-4.43153389147340e-002°)
6.45654229034650e+002	(-3.58951384053205e-006dB,-4.53475753358270e-002°)
6.60693448007591e+002	(-3.71772656965837e-006dB,-4.64038556014293e-002°)
6.76082975391976e+002	(-3.85198177733160e-006dB,-4.74847397624456e-002°)
6.91830970918931e+002	(-3.99256423372101e-006dB,-4.85908009148861e-002°)
7.07945784384132e+002	(-4.13977213054380e-006dB,-4.97226255037149e-002°)
7.24435960074984e+002	(-4.29391771559620e-006dB,-5.08808136337751e-002°)
7.41310241300911e+002	(-4.45532795525041e-006dB,-5.20659793879556e-002°)
7.58577575029177e+002	(-4.62434522106013e-006dB,-5.32787511527676e-002°)
7.76247116628685e+002	(-4.80132801204654e-006dB,-5.45197719515043e-002°)
7.94328234724275e+002	(-4.98665173966616e-006dB,-5.57896997851595e-002°)
8.12830516164092e+002	(-5.18070949542118e-006dB,-5.70892079812865e-002°)
8.31763771102664e+002	(-5.38391290525988e-006dB,-5.84189855509807e-002°)
8.51138038202369e+002	(-5.59669298687063e-006dB,-5.97797375541778e-002°)
8.70963589956073e+002	(-5.81950106869349e-006dB,-6.11721854734577e-002°)
8.91250938133738e+002	(-6.05280976293488e-006dB,-6.25970675965554e-002°)
9.12010839355902e+002	(-6.29711394533335e-006dB,-6.40551394077793e-002°)
9.33254300796983e+002	(-6.55293181303668e-006dB,-6.55471739885449e-002°)
9.54992586021428e+002	(-6.82080598780341e-006dB,-6.70739624272375e-002°)
9.77237220955802e+002	(-7.10130466935036e-006dB,-6.86363142386184e-002°)
9.99999999999991e+002	(-7.39502282148851e-006dB,-7.02350577929995e-002°)
1.02329299228075e+003	(-7.70258346722906e-006dB,-7.18710407554111e-002°)
1.04712854805089e+003	(-8.02463897424759e-006dB,-7.35451305349981e-002°)
1.07151930523760e+003	(-8.36187246474809e-006dB,-7.52582147448809e-002°)
1.09647819614318e+003	(-8.71499925329394e-006dB,-7.70112016727244e-002°)
1.12201845430195e+003	(-9.08476836178709e-006dB,-7.88050207622665e-002°)
1.14815362149687e+003	(-9.47196411738125e-006dB,-8.06406231060579e-002°)
1.17489755493952e+003	(-9.87740781114995e-006dB,-8.25189819496774e-002°)
1.20226443461740e+003	(-1.03019594377605e-005dB,-8.44410932076874e-002°)
1.23026877081237e+003	(-1.07465195200113e-005dB,-8.64079759916036e-002°)
1.25892541179416e+003	(-1.12120310269119e-005dB,-8.84206731501593e-002°)
1.28824955169312e+003	(-1.16994813573404e-005dB,-9.04802518221485e-002°)
1.31825673855640e+003	(-1.22099044587102e-005dB,-9.25878040021425e-002°)
1.34896288259164e+003	(-1.27443829928922e-005dB,-9.47444471193777e-002°)
1.38038426460287e+003	(-1.33040506564345e-005dB,-9.69513246301231e-002°)
1.41253754462274e+003	(-1.38900945692526e-005dB,-9.92096066238387e-002°)
1.44543977074591e+003	(-1.45037577906169e-005dB,-1.01520490443447e-001°)
1.47910838816819e+003	(-1.51463419759366e-005dB,-1.03885201320048e-001°)
1.51356124843619e+003	(-1.58192101232330e-005dB,-1.06304993022406e-001°)
1.54881661891247e+003	(-1.65237894546241e-005dB,-1.08781148521562e-001°)
1.58489319246110e+003	(-1.72615744656103e-005dB,-1.11314980670919e-001°)
1.62181009735891e+003	(-1.80341300785149e-005dB,-1.13907832902156e-001°)
1.65958690743754e+003	(-1.88430949666193e-005dB,-1.16561079937341e-001°)
1.69824365246173e+003	(-1.96901850364571e-005dB,-1.19276128517629e-001°)
1.73780082874936e+003	(-2.05771970509113e-005dB,-1.22054418148914e-001°)
1.77827941003891e+003	(-2.15060124635093e-005dB,-1.24897421864843e-001°)
1.81970085860997e+003	(-2.24786013838799e-005dB,-1.27806647007587e-001°)
1.86208713666285e+003	(-2.34970267746624e-005dB,-1.30783636026788e-001°)
1.90546071796323e+003	(-2.45634488171879e-005dB,-1.33829967297095e-001°)
1.94984459975803e+003	(-2.56801295028295e-005dB,-1.36947255954739e-001°)
1.99526231496886e+003	(-2.68494374220581e-005dB,-1.40137154753565e-001°)
2.04173794466951e+003	(-2.80738527849562e-005dB,-1.43401354940996e-001°)
2.08929613085402e+003	(-2.93559726982649e-005dB,-1.46741587154370e-001°)
2.13796208950221e+003	(-3.06985166555708e-005dB,-1.50159622338151e-001°)
2.18776162394953e+003	(-3.21043323148884e-005dB,-1.53657272682467e-001°)
2.23872113856832e+003	(-3.35764015376043e-005dB,-1.57236392583492e-001°)
2.29086765276775e+003	(-3.51178467100004e-005dB,-1.60898879626179e-001°)
2.34422881531990e+003	(-3.67319373695392e-005dB,-1.64646675589847e-001°)
2.39883291901947e+003	(-3.84220971349493e-005dB,-1.68481767477164e-001°)
2.45470891568501e+003	(-4.01919109719392e-005dB,-1.72406188567076e-001°)
2.51188643150955e+003	(-4.20451327916488e-005dB,-1.76422019492217e-001°)
2.57039578276884e+003	(-4.39856934146305e-005dB,-1.80531389341385e-001°)
2.63026799189535e+003	(-4.60177089177233e-005dB,-1.84736476787660e-001°)
2.69153480392689e+003	(-4.81454893397163e-005dB,-1.89039511242758e-001°)
2.75422870333814e+003	(-5.03735478470614e-005dB,-1.93442774038229e-001°)
2.81838293126442e+003	(-5.27066102902114e-005dB,-1.97948599634121e-001°)
2.88403150312658e+003	(-5.51496252364139e-005dB,-2.02559376855750e-001°)
2.95120922666635e+003	(-5.77077744587185e-005dB,-2.07277550159218e-001°)
3.01995172040198e+003	(-6.03864839226718e-005dB,-2.12105620926360e-001°)
